Año,Mes,Aeropuerto,Infraestructura,NPI,NPN,TUUAN_VER,TUUAN,TUUAI_VER,TUUAI,IRAD_VER,IRAD,AADM_VER,AADM,ADEP_VER,ADEP,ALC_VER,ALC,AOOA_VER,AOOA,ADAH_VER,ADAH,AEHE_VER,AEHE,IREA_VER,IREA,IRIF_VER,IRIF,IRR_VER,IRR,Entidad_Infraestructura
2022,Julio,Chiclayo,ADP,1926,53767,Si,113632.11,Si,13797.1,Si,25075.16,No,0,Si,3072.3500000000004,Si,8062.46,Si,195.49,Si,1300.34,No,0,Si,77.71000000000001,No,0,No,0,Aeropuertos del Perú S.A.
2022,Julio,Chimbote,COR,0,906,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,CORPAC S.A.
2022,Julio,Cusco,COR,2982,291678,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,CORPAC S.A.
2022,Julio,Huánuco,COR,0,15073,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,CORPAC S.A.
2022,Julio,Huaraz-Anta,ADP,0,16,Si,38.25,No,0,Si,40.620000000000005,No,0,No,0,No,0,No,0,No,0,No,0,Si,34.94,No,0,No,0,Aeropuertos del Perú S.A.
2022,Julio,Ilo,COR,0,1670,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,CORPAC S.A.
2022,Julio,Iquitos,ADP,86,82760,Si,224938.64,Si,525.9599999999999,Si,79488.88,No,0,Si,881.15,Si,9612.65,Si,731.89,Si,22343.17,No,0,Si,5821.6900000000005,No,0,No,0,Aeropuertos del Perú S.A.
2022,Julio,Jaén,COR,0,132,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,CORPAC S.A.
2022,Julio,Jauja,COR,0,15555,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,CORPAC S.A.
2022,Julio,Juliaca,AAP,0,49792,Si,110730.24,No,0,Si,22783.5,No,0,Si,1618.81,Si,4356.160000000001,Si,270,No,0,No,0,Si,49.33,No,0,No,0,Aeropuertos Andinos del Perú S.A.
2022,Julio,Lima,AAP,0,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Aeropuertos Andinos del Perú S.A.
2022,Julio,Lima,ADP,0,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Si,167998.04,No,0,Aeropuertos del Perú S.A.
2022,Julio,Lima,LAP,584834,1058406,Si,5114707.8,Si,7774115.79,Si,2606026.57,No,0,No,0,No,0,No,0,No,0,No,0,Si,258153.29,No,0,No,0,Lima Airport Partners S.R.L.
2022,Julio,Mazamari,COR,0,552,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,CORPAC S.A.
2022,Julio,Nazca,COR,0,14670,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,CORPAC S.A.
2022,Julio,No precisa,COR,0,0,Si,756801.4600000001,Si,18760.14,Si,218469.96,No,0,Si,1787.96,Si,6434.13,Si,1216.59,Si,9037.93,Si,204024.12,Si,888.19,No,0,No,0,CORPAC S.A.
2022,Julio,Pisco,ADP,33,2364,Si,4968.72,Si,154.55,Si,1070.6699999999998,No,0,No,0,Si,201.22,No,0,Si,1929.26,No,0,Si,302.63,No,0,No,0,Aeropuertos del Perú S.A.
2022,Julio,Piura,ADP,62,89527,Si,185218.95,Si,421.5,Si,81689.02,No,0,Si,10432.99,Si,10132.41,Si,166.39,Si,2642.06,Si,14998.5,Si,39.96,No,0,No,0,Aeropuertos del Perú S.A.
2022,Julio,Pucallpa,ADP,0,52920,Si,118147.28,No,0,Si,26970.31,No,0,Si,413.5,Si,5158.17,Si,828.09,Si,4547.9,No,0,Si,1350.74,No,0,No,0,Aeropuertos del Perú S.A.
2022,Julio,Puerto Maldonado,AAP,0,32205,Si,71410.06,No,0,Si,12854.42,No,0,Si,1127.85,Si,1891.99,Si,375,No,0,Si,12857.14,Si,59.02,No,0,No,0,Aeropuertos Andinos del Perú S.A.
2022,Julio,Rioja,COR,0,11,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,CORPAC S.A.
2022,Julio,Tacna,AAP,5,33567,Si,72202.7,Si,72.7,Si,13644.97,No,0,Si,3645.46,Si,1707.98,No,0,No,0,Si,18574.460000000003,Si,8.139999999999999,No,0,No,0,Aeropuertos Andinos del Perú S.A.
2022,Julio,Talara,ADP,0,21183,Si,43507.25,No,0,Si,7640.76,No,0,Si,458.4299999999999,Si,2521.15,Si,139.39,Si,1238.58,Si,12453.98,Si,26.1,No,0,No,0,Aeropuertos del Perú S.A.
2022,Julio,Tarapoto,ADP,2,83499,Si,179300.64,Si,29.22,Si,76521.06,No,0,Si,3005.08,Si,8759.240000000002,Si,1500.1699999999998,Si,3093.98,Si,26335.57,Si,832.26,No,0,No,0,Aeropuertos del Perú S.A.
2022,Julio,Tingo María,COR,0,179,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,CORPAC S.A.
2022,Julio,Trujillo,ADP,3888,67919,Si,147712.44,Si,26210.34,Si,39786.23,No,0,Si,7688.03,Si,11941.66,Si,562.3599999999999,Si,5250.71,No,0,Si,647.39,No,0,No,0,Aeropuertos del Perú S.A.
2022,Julio,Tumbes,ADP,16,33180,Si,69253.75,Si,87.66,Si,14297.94,No,0,Si,467.22,Si,4439.57,Si,214.17,Si,891.8599999999999,Si,1457.31,Si,86.22,No,0,No,0,Aeropuertos del Perú S.A.
2022,Julio,Yurimaguas,COR,0,2824,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,CORPAC S.A.
2022,Junio,Andahuaylas,AAP,0,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Aeropuertos Andinos del Perú S.A.
2022,Junio,Arequipa,AAP,1517,149660,Si,396674.47,Si,11283.05,Si,144197.14,No,0,Si,39239.01,Si,44209.84,Si,1266,No,0,Si,11562.63,Si,1486.57,No,0,No,0,Aeropuertos Andinos del Perú S.A.
2022,Junio,Atalaya,COR,0,1427,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,CORPAC S.A.
2022,Junio,Ayacucho,AAP,0,26177,Si,56347.01,No,0,Si,13089.76,Si,2320.4700000000003,No,0,Si,457.4,Si,641.81,No,0,Si,26219.9,Si,1628.31,No,0,No,0,Aeropuertos Andinos del Perú S.A.
2022,Junio,Cajamarca,ADP,0,36477,Si,78106.5,No,0,Si,15059.7,No,0,Si,1874.19,Si,1825.73,Si,95,Si,1445.7,Si,2342.09,Si,10.37,No,0,No,0,Aeropuertos del Perú S.A.
2022,Junio,Chachapoyas,ADP,0,1606,Si,3153.5,No,0,Si,404.2,No,0,No,0,No,0,Si,180.9,No,0,No,0,Si,0.08,No,0,No,0,Aeropuertos del Perú S.A.
2022,Junio,Chiclayo,ADP,1623,50152,Si,106407.75,Si,10481.3,Si,22965.960000000003,No,0,Si,4046.31,Si,8120.120000000001,Si,195.49,Si,1366.7,No,0,Si,83.11999999999999,No,0,No,0,Aeropuertos del Perú S.A.
2022,Junio,Chimbote,COR,0,554,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,CORPAC S.A.
2022,Junio,Cusco,COR,29,249338,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,CORPAC S.A.
2022,Junio,Huánuco,COR,0,13492,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,CORPAC S.A.
2022,Junio,Huaraz-Anta,ADP,0,4,Si,8.5,No,0,Si,40.620000000000005,No,0,No,0,No,0,No,0,No,0,Si,28.25,Si,0.54,No,0,No,0,Aeropuertos del Perú S.A.
2022,Junio,Ilo,COR,0,1455,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,CORPAC S.A.
2022,Junio,Iquitos,ADP,0,73723,Si,193573.26,No,0,Si,72978.3,No,0,Si,1526.03,Si,12146.28,Si,731.89,Si,23478.480000000003,No,0,Si,711.11,No,0,No,0,Aeropuertos del Perú S.A.
2022,Junio,Jaén,COR,0,1446,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,CORPAC S.A.
2022,Junio,Jauja,COR,0,16367,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,CORPAC S.A.
2022,Junio,Juliaca,AAP,0,17051,Si,36742.52,No,0,Si,8950.869999999999,No,0,Si,-437.73,Si,418.33,Si,211.68,No,0,No,0,Si,204.12,No,0,No,0,Aeropuertos Andinos del Perú S.A.
